Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,1449.849976,1452.969971,1426.239990,1434.119995,1434.119995,1743100
2020-06-19,1440.000000,1444.500000,1419.000000,1424.640015,1424.640015,2639200
2020-06-22,1425.010010,1450.949951,1419.189941,1450.660034,1450.660034,1472100
2020-06-23,1452.000000,1475.199951,1445.000000,1463.979980,1463.979980,1887600
2020-06-24,1463.280029,1475.790039,1430.000000,1432.699951,1432.699951,1579600
2020-06-25,1431.219971,1442.319946,1419.540039,1441.099976,1441.099976,1197900
2020-06-26,1432.630005,1437.020020,1355.000000,1362.540039,1362.540039,4882000
2020-06-29,1360.339966,1398.000000,1351.650024,1397.170044,1397.170044,2253700
2020-06-30,1396.880005,1424.000000,1386.930054,1418.050049,1418.050049,2014300
2020-07-01,1419.170044,1448.479980,1414.180054,1442.000000,1442.000000,2109100
2020-07-02,1451.839966,1488.520020,1451.069946,1469.930054,1469.930054,2860900
2020-07-06,1488.150024,1510.000000,1476.979980,1499.650024,1499.650024,2235600
2020-07-07,1496.130005,1521.319946,1489.699951,1489.920044,1489.920044,2118200
2020-07-08,1500.800049,1511.170044,1492.300049,1503.599976,1503.599976,1588300
2020-07-09,1509.930054,1529.140015,1495.589966,1518.660034,1518.660034,2091800
2020-07-10,1513.250000,1541.339966,1500.719971,1539.010010,1539.010010,1795900
2020-07-13,1549.939941,1576.359985,1506.560059,1512.229980,1512.229980,2147700
2020-07-14,1492.790039,1522.800049,1485.930054,1520.859985,1520.859985,1905400
2020-07-15,1523.229980,1536.329956,1497.829956,1516.880005,1516.880005,1551300
2020-07-16,1501.500000,1515.910034,1488.270020,1514.920044,1514.920044,1324200
2020-07-17,1516.910034,1523.430054,1498.099976,1516.849976,1516.849976,1712300
